Date,Ranking,NationalTeam
Apr-94,46,Chile
Apr-94,49,Costa Rica
Apr-94,51,Honduras
Apr-94,59,Iran
Apr-94,74,Bosnia-Herzegovina
Apr-94,104,Croatia
May-94,1,Brazil
May-94,2,Germany
May-94,6,Argentina
May-94,7,Nigeria
May-94,8,Switzerland
May-94,9,Spain
May-94,11,Netherlands
May-94,13,Mexico
May-94,14,Uruguay
May-94,15,England
May-94,16,Italy
May-94,17,France
May-94,18,Colombia
May-94,20,Russia
May-94,21,Ivory Coast
May-94,22,Portugal
May-94,23,United States
May-94,24,Cameroon
May-94,28,Ghana
May-94,32,Greece
May-94,34,Belgium
May-94,37,South Korea
May-94,40,Chile
May-94,44,Australia
May-94,46,Algeria
May-94,47,Ecuador
May-94,50,Costa Rica
May-94,51,Honduras
May-94,54,Japan
May-94,57,Iran
May-94,75,Bosnia-Herzegovina
May-94,102,Croatia
Jun-94,1,Germany
Jun-94,2,Netherlands
Jun-94,3,Brazil
Jun-94,4,Italy
Jun-94,5,Spain
Jun-94,8,Argentina
Jun-94,11,Nigeria
Jun-94,12,Switzerland
Jun-94,13,France
Jun-94,15,England
Jun-94,16,Mexico
Jun-94,17,Colombia
Jun-94,18,Uruguay
Jun-94,19,Russia
Jun-94,21,Ivory Coast
Jun-94,22,Portugal
Jun-94,23,United States
Jun-94,24,Cameroon
Jun-94,26,Ghana
Jun-94,27,Belgium
Jun-94,31,Greece
Jun-94,37,South Korea
Jun-94,39,Ecuador
Jun-94,40,Chile
Jun-94,47,Australia
Jun-94,48,Algeria
Jun-94,50,Honduras
Jun-94,51,Costa Rica
Jun-94,52,Japan
Jun-94,58,Iran
Jun-94,78,Bosnia-Herzegovina
Jun-94,91,Croatia
Jul-94,1,Brazil
Jul-94,2,Italy
Jul-94,4,Germany
Jul-94,5,Netherlands
Jul-94,6,Spain
Jul-94,9,Argentina
Jul-94,10,Nigeria
Jul-94,11,Switzerland
Jul-94,15,Mexico
Jul-94,16,France
Jul-94,17,Colombia
Jul-94,18,England
Jul-94,19,Russia
Jul-94,20,Belgium
Jul-94,22,United States
Jul-94,23,Uruguay
Jul-94,24,Ivory Coast
Jul-94,25,Portugal
Jul-94,27,Cameroon
Jul-94,28,Ghana
Jul-94,34,Greece
Jul-94,36,South Korea
Jul-94,38,Japan
Jul-94,40,Chile
Jul-94,46,Ecuador
Jul-94,47,Australia
Jul-94,48,Algeria
Jul-94,51,Honduras
Jul-94,54,Costa Rica
Jul-94,63,Iran
Jul-94,78,Bosnia-Herzegovina
Jul-94,90,Croatia
Sep-94,1,Brazil
Sep-94,2,Italy
Sep-94,4,Germany
Sep-94,5,Netherlands
Sep-94,6,Spain
Sep-94,9,Argentina
Sep-94,10,Nigeria
Sep-94,11,Switzerland
Sep-94,15,Colombia
Sep-94,16,Mexico
Sep-94,17,Russia
Sep-94,18,England
Sep-94,19,Belgium
Sep-94,20,France
Sep-94,22,United States
Sep-94,23,Ivory Coast
Sep-94,24,Portugal
Sep-94,26,Ghana
Sep-94,28,Cameroon
Sep-94,32,Greece
Sep-94,36,Uruguay
Sep-94,38,South Korea
Sep-94,41,Japan
Sep-94,43,Chile
Sep-94,50,Algeria
Sep-94,51,Honduras
Sep-94,52,Australia
Sep-94,53,Ecuador
Sep-94,56,Costa Rica
Sep-94,63,Iran
Sep-94,73,Croatia
Sep-94,83,Bosnia-Herzegovina
Oct-94,1,Brazil
Oct-94,2,Italy
Oct-94,4,Germany
Oct-94,5,Netherlands
Oct-94,6,Spain
Oct-94,7,Switzerland
Oct-94,9,Argentina
Oct-94,12,Nigeria
Oct-94,14,Russia
Oct-94,15,Colombia
Oct-94,17,England
Oct-94,18,Mexico
Oct-94,19,France
Oct-94,21,Belgium
Oct-94,22,Ivory Coast
Oct-94,23,United States
Oct-94,25,Portugal
Oct-94,26,Ghana
Oct-94,29,Cameroon
Oct-94,31,Greece
Oct-94,35,South Korea
Oct-94,37,Japan
Oct-94,38,Uruguay
Oct-94,46,Chile
Oct-94,50,Australia
Oct-94,56,Honduras
Oct-94,57,Ecuador
Oct-94,58,Algeria
Oct-94,62,Costa Rica
Oct-94,64,Iran
Oct-94,67,Croatia
Oct-94,92,Bosnia-Herzegovina
Nov-94,1,Brazil
Nov-94,3,Italy
Nov-94,4,Germany
Nov-94,5,Spain
Nov-94,6,Netherlands
Nov-94,7,Switzerland
Nov-94,9,Argentina
Nov-94,12,Russia
Nov-94,13,Nigeria
Nov-94,15,Colombia
Nov-94,16,England
Nov-94,18,France
Nov-94,19,Mexico
Nov-94,21,Portugal
Nov-94,22,Belgium
Nov-94,24,United States
Nov-94,25,Ivory Coast
Nov-94,26,Ghana
Nov-94,28,Cameroon
Nov-94,32,Greece
Nov-94,35,South Korea
Nov-94,36,Japan
Nov-94,37,Uruguay
Nov-94,45,Chile
Nov-94,54,Honduras
Nov-94,55,Algeria
Nov-94,56,Australia
Nov-94,57,Ecuador
Nov-94,61,Croatia
Nov-94,63,Costa Rica
Nov-94,73,Iran
Nov-94,96,Bosnia-Herzegovina
Dec-94,1,Brazil
Dec-94,2,Spain
Dec-94,4,Italy
Dec-94,5,Germany
Dec-94,6,Netherlands
Dec-94,7,Switzerland
Dec-94,10,Argentina
Dec-94,12,Nigeria
Dec-94,13,Russia
Dec-94,15,Mexico
Dec-94,17,Colombia
Dec-94,18,England
Dec-94,19,France
Dec-94,20,Portugal
Dec-94,23,United States
Dec-94,24,Belgium
Dec-94,25,Ivory Coast
Dec-94,26,Ghana
Dec-94,28,Greece
Dec-94,31,Cameroon
Dec-94,35,South Korea
Dec-94,36,Japan
Dec-94,37,Uruguay
Dec-94,47,Chile
Dec-94,53,Honduras
Dec-94,55,Ecuador
Dec-94,57,Algeria
Dec-94,58,Australia
Dec-94,62,Croatia
Dec-94,65,Costa Rica
Dec-94,75,Iran
Dec-94,101,Bosnia-Herzegovina
Feb-95,1,Brazil
Feb-95,2,Spain
Feb-95,3,Italy
Feb-95,5,Germany
Feb-95,7,Argentina
Feb-95,8,Netherlands
Feb-95,9,Mexico
Feb-95,11,Switzerland
Feb-95,13,Nigeria
Feb-95,16,Colombia
Feb-95,17,Russia
Feb-95,18,France
Feb-95,19,Portugal
Feb-95,20,England
Feb-95,22,United States
Feb-95,23,Belgium
Feb-95,25,Ghana
Feb-95,26,Greece
Feb-95,29,Ivory Coast
Feb-95,31,Cameroon
Feb-95,33,South Korea
Feb-95,36,Uruguay
Feb-95,37,Japan
Feb-95,38,Chile
Feb-95,47,Australia
Feb-95,53,Honduras
Feb-95,54,Algeria
Feb-95,58,Ecuador
Feb-95,64,Croatia
Feb-95,72,Costa Rica
Feb-95,79,Iran
Feb-95,87,Bosnia-Herzegovina
Apr-95,1,Brazil
Apr-95,2,Italy
Apr-95,3,Spain
Apr-95,4,Germany
Apr-95,7,Netherlands
Apr-95,8,Argentina
Apr-95,9,Mexico
Apr-95,12,Switzerland
Apr-95,14,Portugal
Apr-95,16,Colombia
Apr-95,17,Russia
Apr-95,18,France
Apr-95,19,Nigeria
Apr-95,20,England
Apr-95,21,Belgium
Apr-95,22,United States
Apr-95,23,Greece
Apr-95,27,Ghana
Apr-95,29,Uruguay
Apr-95,33,Japan
Apr-95,35,South Korea
Apr-95,36,Cameroon
Apr-95,39,Ivory Coast
Apr-95,43,Chile
Apr-95,48,Australia
Apr-95,52,Honduras
Apr-95,53,Algeria
Apr-95,56,Croatia
Apr-95,61,Ecuador
Apr-95,68,Costa Rica
Apr-95,80,Iran
Apr-95,83,Bosnia-Herzegovina
May-95,1,Brazil
May-95,2,Italy
May-95,3,Spain
May-95,5,Germany
May-95,7,Netherlands
May-95,8,Argentina
May-95,9,Mexico
May-95,13,Switzerland
May-95,15,Russia
May-95,16,Portugal
May-95,17,France
May-95,18,Belgium
May-95,19,Colombia
May-95,20,Nigeria
May-95,21,England
May-95,24,Greece
May-95,26,Ghana
May-95,27,United States
May-95,32,Uruguay
May-95,33,Ivory Coast
May-95,35,Japan
May-95,37,South Korea
May-95,44,Cameroon
May-95,49,Chile
May-95,50,Australia
May-95,51,Croatia
May-95,55,Algeria
May-95,57,Honduras
May-95,62,Ecuador
May-95,72,Costa Rica
May-95,83,Iran
May-95,85,Bosnia-Herzegovina
Jun-95,1,Brazil
Jun-95,2,Italy
Jun-95,3,Spain
Jun-95,5,Germany
Jun-95,7,Mexico
Jun-95,9,Netherlands
Jun-95,10,Argentina
Jun-95,13,Russia
Jun-95,14,Switzerland
Jun-95,16,Portugal
Jun-95,17,France
Jun-95,18,Nigeria
Jun-95,19,Belgium
Jun-95,22,England
Jun-95,23,Colombia
Jun-95,27,Ghana
Jun-95,28,Greece
Jun-95,31,Ivory Coast
Jun-95,33,Japan
Jun-95,34,United States
Jun-95,36,Uruguay
Jun-95,37,South Korea
Jun-95,40,Cameroon
Jun-95,42,Chile
Jun-95,51,Croatia
Jun-95,57,Algeria
Jun-95,58,Australia
Jun-95,63,Honduras
Jun-95,65,Costa Rica
Jun-95,76,Ecuador
Jun-95,84,Iran
Jun-95,86,Bosnia-Herzegovina
Jul-95,1,Brazil
Jul-95,3,Spain
Jul-95,4,Germany
Jul-95,5,Argentina
Jul-95,6,Italy
Jul-95,8,Mexico
Jul-95,9,Russia
Jul-95,10,Portugal
Jul-95,12,Colombia
Jul-95,14,Switzerland
Jul-95,17,Netherlands
Jul-95,18,France
Jul-95,19,Uruguay
Jul-95,20,United States
Jul-95,22,England
Jul-95,26,Ghana
Jul-95,27,Greece
Jul-95,28,Belgium
Jul-95,29,Ivory Coast
Jul-95,33,Nigeria
Jul-95,36,Japan
Jul-95,38,Chile
Jul-95,39,South Korea
Jul-95,41,Cameroon
Jul-95,52,Australia
Jul-95,53,Croatia
Jul-95,56,Algeria
Jul-95,61,Ecuador
Jul-95,68,Honduras
Jul-95,71,Costa Rica
Jul-95,86,Iran
Jul-95,89,Bosnia-Herzegovina
Aug-95,1,Brazil
Aug-95,3,Spain
Aug-95,4,Germany
Aug-95,5,Argentina
Aug-95,6,Italy
Aug-95,8,Russia
Aug-95,9,Portugal
Aug-95,10,Mexico
Aug-95,11,Switzerland
Aug-95,13,Colombia
Aug-95,17,Netherlands
Aug-95,18,France
Aug-95,19,United States
Aug-95,20,Uruguay
Aug-95,22,England
Aug-95,24,Ghana
Aug-95,29,Belgium
Aug-95,30,Greece
Aug-95,32,Ivory Coast
Aug-95,33,Japan
Aug-95,34,Nigeria
Aug-95,38,Cameroon
Aug-95,39,Chile
Aug-95,41,South Korea
Aug-95,50,Algeria
Aug-95,53,Australia
Aug-95,56,Croatia
Aug-95,60,Ecuador
Aug-95,71,Honduras
Aug-95,74,Costa Rica
Aug-95,89,Iran
Aug-95,92,Bosnia-Herzegovina
Sep-95,1,Brazil
Sep-95,2,Italy
Sep-95,4,Germany
Sep-95,5,Netherlands
Sep-95,6,Spain
Sep-95,9,Argentina
Sep-95,10,Nigeria
Sep-95,11,Switzerland
Sep-95,15,Colombia
Sep-95,16,Mexico
Sep-95,17,Russia
Sep-95,18,England
Sep-95,19,Belgium
Sep-95,20,France
Sep-95,22,United States
Sep-95,23,Ivory Coast
Sep-95,24,Portugal
Sep-95,26,Ghana
Sep-95,28,Cameroon
Sep-95,32,Greece
Sep-95,36,Uruguay
Sep-95,38,South Korea
Sep-95,41,Japan
Sep-95,43,Chile
Sep-95,50,Algeria
Sep-95,51,Honduras
Sep-95,52,Australia
Sep-95,53,Ecuador
Sep-95,56,Costa Rica
Sep-95,63,Iran
Sep-95,73,Croatia
Sep-95,83,Bosnia-Herzegovina
Oct-95,1,Brazil
Oct-95,2,Spain
Oct-95,3,Germany
Oct-95,5,Russia
Oct-95,6,Italy
Oct-95,7,Argentina
Oct-95,9,Switzerland
Oct-95,10,Mexico
Oct-95,12,France
Oct-95,14,Netherlands
Oct-95,16,Colombia
Oct-95,17,Portugal
Oct-95,19,United States
Oct-95,22,England
Oct-95,23,Ghana
Oct-95,24,Uruguay
Oct-95,29,Belgium
Oct-95,30,Greece
Oct-95,32,Ivory Coast
Oct-95,34,Japan
Oct-95,35,Nigeria
Oct-95,37,Chile
Oct-95,41,Cameroon
Oct-95,45,Croatia
Oct-95,48,South Korea
Oct-95,51,Algeria
Oct-95,55,Australia
Oct-95,61,Ecuador
Oct-95,71,Honduras
Oct-95,74,Costa Rica
Oct-95,93,Bosnia-Herzegovina
Oct-95,106,Iran
Nov-95,1,Brazil
Nov-95,2,Germany
Nov-95,3,Spain
Nov-95,4,Italy
Nov-95,5,Russia
Nov-95,7,Argentina
Nov-95,9,France
Nov-95,10,Netherlands
Nov-95,13,Mexico
Nov-95,15,Switzerland
Nov-95,16,Portugal
Nov-95,17,Colombia
Nov-95,19,United States
Nov-95,20,England
Nov-95,24,Nigeria
Nov-95,26,Belgium
Nov-95,27,Ghana
Nov-95,28,Ivory Coast
Nov-95,29,Greece
Nov-95,30,Uruguay
Nov-95,32,Japan
Nov-95,36,Chile
Nov-95,39,Croatia
Nov-95,43,Cameroon
Nov-95,44,South Korea
Nov-95,47,Algeria
Nov-95,49,Australia
Nov-95,58,Ecuador
Nov-95,69,Honduras
Nov-95,76,Costa Rica
Nov-95,80,Bosnia-Herzegovina
Nov-95,106,Iran
Dec-95,1,Brazil
Dec-95,2,Germany
Dec-95,3,Italy
Dec-95,4,Spain
Dec-95,5,Russia
Dec-95,6,Netherlands
Dec-95,7,Argentina
Dec-95,8,France
Dec-95,12,Mexico
Dec-95,15,Colombia
Dec-95,16,Portugal
Dec-95,18,Switzerland
Dec-95,19,United States
Dec-95,20,Ivory Coast
Dec-95,21,England
Dec-95,24,Belgium
Dec-95,27,Nigeria
Dec-95,29,Ghana
Dec-95,31,Japan
Dec-95,32,Uruguay
Dec-95,34,Greece
Dec-95,36,Chile
Dec-95,37,Cameroon
Dec-95,41,Croatia
Dec-95,46,South Korea
Dec-95,48,Algeria
Dec-95,49,Honduras
Dec-95,51,Australia
Dec-95,55,Ecuador
Dec-95,78,Costa Rica
Dec-95,81,Bosnia-Herzegovina
Dec-95,108,Iran
Jan-96,1,Brazil
Jan-96,2,Germany
Jan-96,3,Italy
Jan-96,4,Spain
Jan-96,5,Russia
Jan-96,6,Netherlands
Jan-96,7,Argentina
Jan-96,8,Mexico
Jan-96,13,France
Jan-96,15,United States
Jan-96,16,Portugal
Jan-96,17,Colombia
Jan-96,19,Ghana
Jan-96,20,Switzerland
Jan-96,21,Ivory Coast
Jan-96,24,England
Jan-96,25,Belgium
Jan-96,30,Japan
Jan-96,32,Cameroon
Jan-96,34,Uruguay
Jan-96,37,Greece
Jan-96,38,Nigeria
Jan-96,39,Chile
Jan-96,41,Croatia
Jan-96,44,Algeria
Jan-96,49,South Korea
Jan-96,54,Australia
Jan-96,55,Honduras
Jan-96,57,Ecuador
Jan-96,80,Costa Rica
Jan-96,81,Bosnia-Herzegovina
Jan-96,111,Iran
Feb-96,1,Brazil
Feb-96,2,Italy
Feb-96,3,Germany
Feb-96,4,Spain
Feb-96,5,Russia
Feb-96,6,Netherlands
Feb-96,7,France
Feb-96,8,Argentina
Feb-96,10,Mexico
Feb-96,14,United States
Feb-96,16,Ghana
Feb-96,19,Colombia
Feb-96,20,Portugal
Feb-96,21,Switzerland
Feb-96,24,Ivory Coast
Feb-96,27,England
Feb-96,28,Belgium
Feb-96,30,Japan
Feb-96,33,Chile
Feb-96,34,Cameroon
Feb-96,36,Uruguay
Feb-96,39,Nigeria
Feb-96,41,Greece
Feb-96,43,Croatia
Feb-96,44,Algeria
Feb-96,52,Australia
Feb-96,54,Ecuador
Feb-96,57,Honduras
Feb-96,62,South Korea
Feb-96,80,Costa Rica
Feb-96,83,Bosnia-Herzegovina
Feb-96,115,Iran
Apr-96,1,Brazil
Apr-96,2,Germany
Apr-96,3,Russia
Apr-96,4,Italy
Apr-96,5,France
Apr-96,6,Spain
Apr-96,8,Argentina
Apr-96,9,Colombia
Apr-96,11,Netherlands
Apr-96,12,Mexico
Apr-96,14,United States
Apr-96,16,Ghana
Apr-96,20,Portugal
Apr-96,21,Ivory Coast
Apr-96,23,England
Apr-96,26,Switzerland
Apr-96,28,Croatia
Apr-96,29,Japan
Apr-96,32,Cameroon
Apr-96,33,Chile
Apr-96,35,Uruguay
Apr-96,38,Belgium
Apr-96,41,Ecuador
Apr-96,42,Nigeria
Apr-96,45,Greece
Apr-96,46,Algeria
Apr-96,49,Australia
Apr-96,53,Honduras
Apr-96,59,South Korea
Apr-96,81,Bosnia-Herzegovina
Apr-96,83,Costa Rica
Apr-96,118,Iran
May-96,1,Brazil
May-96,2,Germany
May-96,3,Russia
May-96,5,France
May-96,6,Spain
May-96,7,Italy
May-96,8,Argentina
May-96,9,Colombia
May-96,12,Mexico
May-96,13,Netherlands
May-96,14,United States
May-96,17,Ghana
May-96,18,Portugal
May-96,21,Switzerland
May-96,23,Ivory Coast
May-96,24,England
May-96,26,Japan
May-96,27,Croatia
May-96,29,Chile
May-96,32,Uruguay
May-96,34,Cameroon
May-96,35,Greece
May-96,38,Ecuador
May-96,40,Belgium
May-96,43,Nigeria
May-96,46,Algeria
May-96,50,Australia
May-96,51,South Korea
May-96,54,Honduras
May-96,73,Bosnia-Herzegovina
May-96,87,Costa Rica
May-96,123,Iran
Jul-96,1,Brazil
Jul-96,2,Germany
Jul-96,3,France
Jul-96,5,Italy
Jul-96,6,Netherlands
Jul-96,8,Spain
Jul-96,9,Russia
Jul-96,11,Portugal
Jul-96,12,Colombia
Jul-96,13,England
Jul-96,14,Mexico
Jul-96,15,Argentina
Jul-96,17,United States
Jul-96,20,Ghana
Jul-96,22,Croatia
Jul-96,25,Japan
Jul-96,26,Switzerland
Jul-96,28,Ivory Coast
Jul-96,29,Chile
Jul-96,32,Ecuador
Jul-96,35,Greece
Jul-96,38,Uruguay
Jul-96,39,Cameroon
Jul-96,43,Belgium
Jul-96,44,Algeria
Jul-96,47,Nigeria
Jul-96,49,Honduras
Jul-96,53,South Korea
Jul-96,57,Iran
Jul-96,59,Australia
Jul-96,62,Bosnia-Herzegovina
Jul-96,93,Costa Rica
Aug-96,1,Brazil
Aug-96,2,Germany
Aug-96,3,France
Aug-96,5,Italy
Aug-96,6,Netherlands
Aug-96,7,Spain
Aug-96,8,Russia
Aug-96,11,Colombia
Aug-96,12,Portugal
Aug-96,13,England
Aug-96,14,Mexico
Aug-96,19,Ghana
Aug-96,20,United States
Aug-96,21,Chile
Aug-96,23,Croatia
Aug-96,24,Argentina
Aug-96,26,Japan
Aug-96,28,Ivory Coast
Aug-96,30,Greece
Aug-96,31,Switzerland
Aug-96,32,Ecuador
Aug-96,41,South Korea
Aug-96,43,Belgium
Aug-96,44,Algeria
Aug-96,45,Cameroon
Aug-96,48,Honduras
Aug-96,49,Nigeria
Aug-96,56,Uruguay
Aug-96,61,Australia
Aug-96,64,Iran
Aug-96,65,Bosnia-Herzegovina
Aug-96,85,Costa Rica
Sep-96,1,Brazil
Sep-96,2,Germany
Sep-96,3,France
Sep-96,5,Russia
Sep-96,6,Italy
Sep-96,7,Netherlands
Sep-96,10,Spain
Sep-96,11,Colombia
Sep-96,12,England
Sep-96,13,Mexico
Sep-96,14,Portugal
Sep-96,18,United States
Sep-96,19,Ghana
Sep-96,20,Japan
Sep-96,22,Argentina
Sep-96,25,Croatia
Sep-96,26,Chile
Sep-96,29,Ivory Coast
Sep-96,30,Greece
Sep-96,31,Ecuador
Sep-96,35,Switzerland
Sep-96,37,Belgium
Sep-96,41,South Korea
Sep-96,43,Honduras
Sep-96,44,Algeria
Sep-96,47,Cameroon
Sep-96,51,Nigeria
Sep-96,52,Australia
Sep-96,53,Uruguay
Sep-96,66,Iran
Sep-96,70,Bosnia-Herzegovina
Sep-96,73,Costa Rica
Oct-96,1,Brazil
Oct-96,2,Germany
Oct-96,3,France
Oct-96,5,Italy
Oct-96,7,Russia
Oct-96,8,Colombia
Oct-96,9,Netherlands
Oct-96,10,Spain
Oct-96,12,England
Oct-96,13,Portugal
Oct-96,15,Mexico
Oct-96,17,Argentina
Oct-96,20,Japan
Oct-96,22,Croatia
Oct-96,23,Ghana
Oct-96,25,United States
Oct-96,26,Chile
Oct-96,30,Greece
Oct-96,31,Ivory Coast
Oct-96,32,Ecuador
Oct-96,36,Belgium
Oct-96,39,Switzerland
Oct-96,42,Honduras
Oct-96,45,South Korea
Oct-96,46,Algeria
Oct-96,47,Cameroon
Oct-96,48,Australia
Oct-96,50,Uruguay
Oct-96,59,Bosnia-Herzegovina
Oct-96,63,Nigeria
Oct-96,71,Iran
Oct-96,79,Costa Rica
Nov-96,1,Brazil
Nov-96,2,Germany
Nov-96,3,France
Nov-96,6,Russia
Nov-96,7,Colombia
Nov-96,8,Spain
Nov-96,9,Italy
Nov-96,10,Netherlands
Nov-96,11,Mexico
Nov-96,12,England
Nov-96,15,Portugal
Nov-96,16,United States
Nov-96,19,Argentina
Nov-96,22,Japan
Nov-96,24,Croatia
Nov-96,25,Ghana
Nov-96,26,Chile
Nov-96,32,Ivory Coast
Nov-96,34,Ecuador
Nov-96,37,Greece
Nov-96,42,Belgium
Nov-96,43,Switzerland
Nov-96,44,Honduras
Nov-96,46,South Korea
Nov-96,47,Cameroon
Nov-96,48,Australia
Nov-96,49,Algeria
Nov-96,54,Uruguay
Nov-96,58,Nigeria
Nov-96,59,Bosnia-Herzegovina
Nov-96,77,Iran
Nov-96,83,Costa Rica
Dec-96,1,Brazil
Dec-96,2,Germany
Dec-96,3,France
Dec-96,4,Colombia
Dec-96,7,Russia
Dec-96,8,Spain
Dec-96,9,Netherlands
Dec-96,10,Italy
Dec-96,11,Mexico
Dec-96,12,England
Dec-96,13,Portugal
Dec-96,18,United States
Dec-96,21,Japan
Dec-96,22,Argentina
Dec-96,24,Croatia
Dec-96,25,Ghana
Dec-96,26,Chile
Dec-96,33,Ecuador
Dec-96,35,Greece
Dec-96,42,Belgium
Dec-96,43,Uruguay
Dec-96,44,South Korea
Dec-96,45,Honduras
Dec-96,47,Switzerland
Dec-96,49,Algeria
Dec-96,50,Australia
Dec-96,51,Ivory Coast
Dec-96,55,Bosnia-Herzegovina
