Year,Country,Yellow Card,Red Card,Goals For,Goals Against
1954,Scotland,0,0,0,8
1954,South Korea,0,0,0,16
1958,France,0,0,23,15
1958,Brazil,0,0,16,4
1958,Sweden,0,0,12,7
1958,West Germany,0,1,12,14
1958,Czechoslovakia,0,1,9,6
1958,Paraguay,0,0,9,12
1958,Hungary,0,1,7,5
1958,Yugoslavia,0,0,7,7
1958,Northern Ireland,0,0,6,10
1958,Soviet Union,0,0,5,6
1958,Argentina,0,0,5,10
1958,Wales,0,0,4,4
1958,England,0,0,4,5
1958,Scotland,0,0,4,6
1958,Austria,0,0,2,7
1958,Mexico,0,0,1,8
1962,Brazil,0,1,14,5
1962,Yugoslavia,0,1,10,7
1962,Chile,0,1,10,8
1962,Soviet Union,0,0,9,7
1962,Hungary,0,0,8,3
1962,Czechoslovakia,0,0,7,7
1962,England,0,0,5,6
1962,Colombia,0,0,5,11
1962,West Germany,0,0,4,2
1962,Uruguay,0,1,4,6
1962,Italy,0,2,3,2
1962,Mexico,0,0,3,4
1962,Argentina,1,0,2,3
1962,Spain,0,0,2,3
1962,Switzerland,0,0,2,8
1962,Bulgaria,0,0,1,7
1966,Portugal,2,0,17,8
1966,West Germany,4,0,15,6
1966,England,2,0,11,3
1966,Soviet Union,3,1,10,6
1966,Hungary,0,0,8,7
1966,North Korea,0,0,5,9
1966,Argentina,3,2,4,2
1966,Spain,1,0,4,5
1966,Brazil,1,0,4,6
1966,Italy,0,0,2,2
1966,Chile,1,0,2,5
1966,France,0,0,2,5
1966,Uruguay,1,2,2,5
1966,Mexico,0,0,1,3
1966,Bulgaria,3,0,1,8
1966,Switzerland,0,0,1,9
1970,Brazil,4,0,19,7
1970,West Germany,5,0,17,10
1970,Italy ,6,0,10,8
1970,Peru,0,0,9,9
1970,Soviet Union,6,0,6,2
1970,Mexico,3,0,6,4
1970,Bulgaria,0,0,5,9
1970,England,2,0,4,4
1970,Belgium,2,0,4,5
1970,Romania,3,0,4,5
1970,Uruguay,7,0,4,5
1970,Sweden,2,0,2,2
1970,Morocco,0,0,2,6
1970,Czechoslovakia,3,0,2,7
1970,Israel,4,0,1,3
1970,El Salvador,4,0,0,9
1974,Poland,5,0,16,5
1974,Netherlands,11,0,15,3
1974,East Germany,10,0,13,4
1974,Yugoslavia,10,0,12,7
1974,Argentina,8,0,9,12
1974,Sweden,5,0,7,6
1974,Brazil,11,1,6,4
1974,Italy,2,0,5,4
1974,West Germany,3,0,5,5
1974,Scotland,3,0,3,1
1974,Bulgaria,2,0,2,5
1974,Haiti,3,0,2,14
1974,Chile,5,1,1,2
1974,Uruguay,5,1,1,6
1974,Australia,2,1,0,5
1974,Zaire,2,1,0,14
1978,Argentina,5,0,15,4
1978,Netherlands,8,1,15,10
1978,Brazil,9,0,10,3
1978,West Germany,4,0,10,5
1978,Italy,6,0,9,6
1978,Austria,2,0,7,10
1978,Peru,7,0,7,12
1978,Poland,3,0,6,6
1978,France,3,0,5,5
1978,Scotland,1,0,5,6
1978,Tunisia,1,0,3,2
1978,Hungary,4,2,3,8
1978,Spain,1,0,2,2
1978,Iran,3,0,2,8
1978,Mexico,1,0,2,12
1978,Sweden,1,0,1,3
1982,France,6,0,16,12
1982,Brazil,2,0,15,6
1982,Hungary,2,0,12,6
1982,Italy,11,0,12,6
1982,West Germany,8,0,12,10
1982,Poland,10,0,11,5
1982,Argentina,7,2,8,7
1982,Scotland,1,0,8,8
1982,Soviet Union,4,0,7,4
1982,England,3,0,6,1
1982,Austria,6,0,5,4
1982,Algeria,2,0,5,5
1982,Northern Ireland,4,1,5,7
1982,Spain,6,0,4,5
1982,Belgium,3,0,3,5
1982,Chile,4,0,3,8
1982,Yugoslavia,3,0,2,2
1982,Honduras,1,1,2,3
1982,Czechoslovakia,2,1,2,4
1982,Kuwait,3,0,2,6
1982,Peru,2,0,2,6
1982,New Zealand ,0,0,2,12
1982,Cameroon,4,0,1,1
1982,El Salvador,5,0,1,13
1986,Argentina,12,0,14,5
1986,Soviet Union,2,0,12,5
1986,France,6,0,12,6
1986,Belgium,8,0,12,15
1986,Spain,8,0,11,4
1986,Brazil,3,0,10,1
1986,Denmark,4,0,10,6
1986,West Germany,8,0,8,7
1986,England,8,0,7,3
1986,Mexico,10,0,6,2
1986,Italy,8,0,5,6
1986,Paraguay,5,0,4,6
1986,South Korea,7,0,4,7
1986,Morocco,5,0,3,2
1986,Portugal,2,0,2,4
1986,Northern Ireland,5,0,2,6
1986,Bulgaria,3,0,2,6
1986,Uruguay,11,0,2,8
1986,Hungary,0,0,2,9
1986,Scotland,5,0,1,3
1986,Iraq,8,1,1,4
1986,Algeria,2,0,1,5
1986,Poland,5,0,1,7
1986,Canada,2,0,0,5
1990,West Germany,8,1,15,5
1990,Italy,6,0,10,2
1990,Czechoslovakia,13,1,10,5
1990,Yugoslavia,8,1,8,6
1990,England,6,0,8,6
1990,Cameroon,14,2,7,9
1990,Belgium,0,0,6,4
1990,Spain,4,0,6,4
1990,Argentina,22,2,5,4
1990,Brazil,7,1,4,2
1990,Romania,7,0,4,3
1990,Soviet Union,3,1,4,4
1990,Colombia,5,0,4,4
1990,Costa Rica,6,0,4,6
1990,Netherlands,5,1,3,4
1990,Sweden,4,0,3,6
1990,Austria,9,1,2,3
1990,Scotland,3,0,2,3
1990,Ireland,4,0,2,3
1990,Uruguay,9,0,2,5
1990,United States,7,1,2,8
1990,United Arab Emirates,5,0,2,11
1990,Egypt,4,0,1,2
1990,South Korea,6,1,1,6
1994,Sweden,12,1,15,8
1994,Brazil,8,1,11,3
1994,Spain,13,1,10,6
1994,Romania,12,1,10,9
1994,Bulgaria,19,0,10,11
1994,Germany,13,0,9,7
1994,Italy,11,2,8,5
1994,Argentina,9,0,8,6
1994,Netherlands,12,0,8,6
1994,Nigeria,9,0,7,4
1994,Russia,7,0,7,6
1994,Saudi Arabia,10,0,5,6
1994,Switzerland,8,0,5,7
1994,Belgium,6,0,4,4
1994,Mexico,9,0,4,4
1994,Colombia,7,0,4,5
1994,South Korea,6,0,4,5
1994,United States,7,0,3,4
1994,Cameroon,5,1,3,11
1994,Ireland,8,0,2,4
1994,Morocco,10,0,2,5
1994,Norway,6,0,1,1
1994,Bolivia,6,1,1,4
1994,Greece,8,0,0,10
1998,France,11,2,15,2
1998,Brazil,12,0,14,10
1998,Netherlands,9,1,13,7
1998,Croatia,19,0,11,5
1998,Argentina,11,1,10,4
1998,Denmark,12,2,9,7
1998,Italy,11,0,8,3
1998,Spain,7,0,8,4
1998,Germany,12,1,8,6
1998,Mexico,10,2,8,7
1998,England,5,1,7,4
1998,Nigeria,8,0,6,9
1998,Yugoslavia,7,0,5,4
1998,Morocco,4,0,5,5
1998,Norway,7,0,5,5
1998,Chile,13,0,5,8
1998,Romania,10,0,4,3
1998,Paraguay,8,0,3,2
1998,Belgium,4,1,3,3
1998,Austria,6,0,3,4
1998,South Africa,7,1,3,6
1998,Jamaica,4,0,3,9
1998,Iran,3,0,2,4
1998,Cameroon,6,3,2,5
1998,Scotland,4,1,2,6
1998,Saudi Arabia,4,1,2,7
1998,South Korea,7,1,2,9
1998,Colombia,5,0,1,3
1998,Japan,7,0,1,4
1998,Tunisia,7,0,1,4
1998,United States,4,0,1,5
1998,Bulgaria,6,0,1,7
2002,Brazil,7,1,18,4
2002,Germany,16,0,14,3
2002,Spain,7,0,10,5
2002,Turkey,17,1,10,6
2002,South Korea,14,0,8,6
2002,Senegal,14,1,7,6
2002,United States,14,0,7,7
2002,Ireland,4,0,6,3
2002,England,6,0,6,3
2002,Portugal,6,1,6,4
2002,Belgium,6,0,6,7
2002,Paraguay,9,1,6,7
2002,Japan,6,0,5,3
2002,South Africa,10,0,5,5
2002,Italy,10,0,5,5
2002,Denmark,9,0,5,5
2002,Sweden,6,0,5,5
2002,Costa Rica,6,0,5,6
2002,Russia,9,0,4,4
2002,Mexico,8,1,4,4
2002,Uruguay,10,0,4,5
2002,Poland,9,0,3,7
2002,Argentina,6,1,2,2
2002,Cameroon,8,0,2,3
2002,Croatia,3,1,2,3
2002,Ecuador,9,0,2,4
2002,Slovenia,10,1,2,7
2002,Nigeria,2,0,1,3
2002,Tunisia,8,0,1,5
2002,France,3,1,0,3
2002,China,5,1,0,9
2002,Saudi Arabia,3,0,0,12
2006,Germany,12,0,14,6
2006,Italy,11,2,12,2
2006,Argentina,12,1,11,3
2006,Brazil,11,0,10,2
2006,France,16,1,9,3
2006,Spain,6,0,9,4
2006,Portugal,20,0,7,5
2006,England,9,1,6,2
2006,Ecuador,9,0,5,4
2006,Mexico,10,0,5,5
2006,Ivory Coast,7,0,5,6
2006,Australia,9,0,5,6
2006,Ukraine,12,1,5,7
2006,Switzerland,12,0,4,0
2006,Ghana,16,0,4,6
2006,Netherlands,12,0,3,2
2006,Czech Republic,5,1,3,4
2006,South Korea,9,0,3,4
2006,Sweden,8,0,3,4
2006,Tunisia,12,0,3,6
2006,Costa Rica,8,0,3,9
2006,Paraguay,8,0,2,2
2006,Croatia,7,0,2,3
2006,Poland,8,0,2,4
2006,Iran,8,0,2,6
2006,United States,3,1,2,6
2006,Saudi Arabia,5,0,2,7
2006,Japan,7,0,2,7
2006,Serbia and Montenegro,10,1,2,10
2006,Angola,9,0,1,2
2006,Togo,8,0,1,6
2006,Trinidad and Tobago,8,0,0,4
2010,Germany,11,0,16,5
2010,Netherlands,22,0,12,6
2010,Uruguay,9,1,11,8
2010,Argentina,7,0,10,6
2010,Brazil,7,1,9,4
2010,Spain,8,0,8,2
2010,Portugal,8,1,7,1
2010,South Korea,6,0,6,8
2010,Ghana,11,0,5,4
2010,United States,9,0,5,5
2010,Slovakia,11,0,5,7
2010,Japan,7,0,4,2
2010,Ivory Coast,5,0,4,3
2010,Italy,5,0,4,5
2010,Mexico,9,0,4,5
2010,Paraguay,9,0,3,2
2010,Slovenia,9,0,3,3
2010,South Africa,4,1,3,5
2010,Nigeria,5,1,3,5
2010,Chile,13,0,3,5
2010,England,6,0,3,5
2010,Denmark,6,0,3,6
2010,Australia,7,2,3,6
2010,New Zealand ,6,0,2,2
2010,Serbia,8,0,2,3
2010,Greece,5,0,2,5
2010,Cameroon,5,0,2,5
2010,Switzerland,8,1,1,1
2010,France,6,1,1,4
2010,North Korea,2,0,1,12
2010,Algeria,4,0,0,2
2010,Honduras,7,0,0,3
